"invoice.identifier", "invoice.effective_date", "invoice.vendor", "invoice.subtotal_amount", "invoice.tax", "invoice.total_amount", "item.item_id", "item.resource_id", "item.unit_amount", "item.units", "item.total_amount", "item.currency", "item.start_date", "item.end_date"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54856", "VSM-001 Agile Services OnDemand (VSM-001)", "0.00", "1", "0.00", "USD", "2017-04-09", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54859", "backend1.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54861", "frontend3.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54863", "frontend5.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54864", "frontend6.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54870", "frontend12.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54871", "frontend13.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54873", "frontend15.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54874", "frontend16.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54877", "frontend19.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54879", "backend2.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54880", "backend3.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54881", "backend4.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54882", "backend5.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54883", "backend6.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54884", "backend7.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "54885", "backend8.nyj4.lifestreetmedia.com", "207.00", "1", "207.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57307", "frontend21.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57310", "frontend22.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57311", "frontend23.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57312", "frontend24.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57314", "frontend26.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57315", "frontend27.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57321", "frontend33.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57322", "frontend34.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57323", "frontend35.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57325", "frontend37.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57326", "frontend38.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57327", "frontend39.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57328", "frontend40.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57329", "frontend41.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57335", "frontend047.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57336", "frontend048.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57337", "frontend049.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57338", "frontend050.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57339", "frontend051.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57340", "frontend052.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57341", "frontend053.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57342", "frontend054.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57343", "frontend055.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57344", "frontend056.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57345", "frontend057.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57346", "frontend058.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57347", "frontend059.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
"INV-14066-486955", "2017-04-25", "Internap Corporation", "", "0.00", "16932.40", "57348", "frontend060.nyj4.lifestreetmedia.com", "153.00", "1", "153.00", "USD", "2017-04-05", "2017-05-05"
